,YEARMODA,TEMP,MAX,MIN,DIFF,TEMP_CELSIUS,TEMP_KELVIN
0,20160615,63.4,70.3,49.3,21.0,17.444444444444443,290.59444444444443
1,20160617,60.4,70.7,55.9,14.800000000000004,15.777777777777779,288.92777777777775
2,20160620,59.3,69.1,52.2,16.89999999999999,15.166666666666666,288.31666666666666
3,20160621,62.6,71.4,50.4,21.000000000000007,17.0,290.15
4,20160622,61.7,70.2,55.4,14.800000000000004,16.500000000000004,289.65
5,20160623,60.9,67.1,54.9,12.199999999999996,16.055555555555557,289.2055555555555
6,20160624,61.1,68.9,56.7,12.200000000000003,16.166666666666668,289.31666666666666
7,20160625,65.7,75.4,57.9,17.500000000000007,18.722222222222225,291.8722222222222
8,20160626,69.6,77.7,60.3,17.400000000000006,20.888888888888886,294.0388888888889
9,20160627,60.7,70.0,,,15.944444444444446,289.09444444444443
10,20160628,65.4,73.0,55.8,17.200000000000003,18.55555555555556,291.7055555555555
11,20160629,65.8,73.2,,,18.77777777777778,291.92777777777775
12,20160630,65.7,72.7,59.2,13.5,18.722222222222225,291.8722222222222
